model,curve,x,y
Logistic Regression (unweighted),PR,0.9772727272727273,0.09307359307359307
Logistic Regression (unweighted),PR,0.9772727272727273,0.09317443120260022
Logistic Regression (unweighted),PR,0.9772727272727273,0.09327548806941431
Logistic Regression (unweighted),PR,0.9772727272727273,0.09337676438653637
Logistic Regression (unweighted),PR,0.9772727272727273,0.09347826086956522
Logistic Regression (unweighted),PR,0.9772727272727273,0.09357997823721437
Logistic Regression (unweighted),PR,0.9772727272727273,0.09368191721132897
Logistic Regression (unweighted),PR,0.9772727272727273,0.09378407851690294
Logistic Regression (unweighted),PR,0.9772727272727273,0.09388646288209607
Logistic Regression (unweighted),PR,0.9772727272727273,0.09398907103825137
Logistic Regression (unweighted),PR,0.9772727272727273,0.09409190371991247
Logistic Regression (unweighted),PR,0.9772727272727273,0.09419496166484119
Logistic Regression (unweighted),PR,0.9772727272727273,0.09429824561403509
Logistic Regression (unweighted),PR,0.9772727272727273,0.09440175631174534
Logistic Regression (unweighted),PR,0.9772727272727273,0.0945054945054945
Logistic Regression (unweighted),PR,0.9772727272727273,0.09460946094609461
Logistic Regression (unweighted),PR,0.9772727272727273,0.0947136563876652
Logistic Regression (unweighted),PR,0.9772727272727273,0.09481808158765159
Logistic Regression (unweighted),PR,0.9772727272727273,0.09492273730684327
Logistic Regression (unweighted),PR,0.9772727272727273,0.09502762430939227
Logistic Regression (unweighted),PR,0.9772727272727273,0.09513274336283185
Logistic Regression (unweighted),PR,0.9772727272727273,0.09523809523809523
Logistic Regression (unweighted),PR,0.9772727272727273,0.09534368070953436
Logistic Regression (unweighted),PR,0.9772727272727273,0.09544950055493896
Logistic Regression (unweighted),PR,0.9772727272727273,0.09555555555555556
Logistic Regression (unweighted),PR,0.9772727272727273,0.09566184649610679
Logistic Regression (unweighted),PR,0.9772727272727273,0.0957683741648107
Logistic Regression (unweighted),PR,0.9772727272727273,0.09587513935340022
Logistic Regression (unweighted),PR,0.9772727272727273,0.09598214285714286
Logistic Regression (unweighted),PR,0.9772727272727273,0.09608938547486033
Logistic Regression (unweighted),PR,0.9772727272727273,0.09619686800894854
Logistic Regression (unweighted),PR,0.9772727272727273,0.09630459126539753
Logistic Regression (unweighted),PR,0.9772727272727273,0.09641255605381166
Logistic Regression (unweighted),PR,0.9772727272727273,0.09652076318742986
Logistic Regression (unweighted),PR,0.9772727272727273,0.09662921348314607
Logistic Regression (unweighted),PR,0.9772727272727273,0.09673790776152981
Logistic Regression (unweighted),PR,0.9772727272727273,0.09684684684684684
Logistic Regression (unweighted),PR,0.9772727272727273,0.09695603156708005
Logistic Regression (unweighted),PR,0.9772727272727273,0.09706546275395034
Logistic Regression (unweighted),PR,0.9772727272727273,0.09717514124293786
Logistic Regression (unweighted),PR,0.9772727272727273,0.09728506787330317
Logistic Regression (unweighted),PR,0.9772727272727273,0.09739524348810873
Logistic Regression (unweighted),PR,0.9772727272727273,0.09750566893424037
Logistic Regression (unweighted),PR,0.9772727272727273,0.09761634506242906
Logistic Regression (unweighted),PR,0.9772727272727273,0.09772727272727273
Logistic Regression (unweighted),PR,0.9772727272727273,0.09783845278725825
Logistic Regression (unweighted),PR,0.9772727272727273,0.0979498861047836
Logistic Regression (unweighted),PR,0.9772727272727273,0.09806157354618016
Logistic Regression (unweighted),PR,0.9772727272727273,0.09817351598173515
Logistic Regression (unweighted),PR,0.9772727272727273,0.09828571428571428
Logistic Regression (unweighted),PR,0.9772727272727273,0.09839816933638444
